id,department,intent,language,question,source,tags,answer
35,City Civil Registrar's Office,birth_certificate_process,tl,Ano ang proseso para makakuha ng birth certificate?,Citizen Charter,"birth,certificate,process",
36,City Civil Registrar's Office,birth_certificate_process,tl,Kailangan ko ng birth certificate paano?,Citizen Charter,"birth,certificate,process",
37,City Civil Registrar's Office,birth_certificate_process,bis,Unsaon pagkuha og birth certificate?,Citizen Charter,"birth,certificate,process",
38,City Civil Registrar's Office,birth_certificate_process,bis,Asa ko moadto para makakuha og birth certificate?,Citizen Charter,"birth,certificate,process",
39,City Civil Registrar's Office,birth_certificate_process,bis,Kabalo ka unsaon pag kuha ug birth certificate?,Citizen Charter,"birth,certificate,process",
40,City Civil Registrar's Office,birth_certificate_process,bis,Gusto ko makakuha og birth certificate,Citizen Charter,"birth,certificate,process",
41,City Civil Registrar's Office,birth_certificate_process,bis,Unsa ang proseso sa pagkuha og birth certificate?,Citizen Charter,"birth,certificate,process",
42,City Civil Registrar's Office,birth_certificate_process,bis,Pag kuha og birth cert unsaon?,Citizen Charter,"birth,certificate,process",
43,City Civil Registrar's Office,birth_certificate_process,bis,Mangayo ko og birth certificate,Citizen Charter,"birth,certificate,process",
44,City Civil Registrar's Office,birth_certificate_process,bis,Kinahanglan nako og birth certificate,Citizen Charter,"birth,certificate,process",
45,City Civil Registrar's Office,birth_certificate_requirements,en,What are the requirements for a birth certificate?,Citizen Charter,"birth,requirements",
46,City Civil Registrar's Office,birth_certificate_requirements,en,What documents do I need for a birth certificate request?,Citizen Charter,"birth,requirements",
47,City Civil Registrar's Office,birth_certificate_requirements,en,What do I need to bring for a birth certificate?,Citizen Charter,"birth,requirements",
48,City Civil Registrar's Office,birth_certificate_requirements,en,Requirements for birth certificate?,Citizen Charter,"birth,requirements",
49,City Civil Registrar's Office,birth_certificate_requirements,en,What should I prepare for birth certificate request?,Citizen Charter,"birth,requirements",
50,City Civil Registrar's Office,birth_certificate_requirements,en,Birth certificate requirements list,Citizen Charter,"birth,requirements",
51,City Civil Registrar's Office,birth_certificate_requirements,tl,Ano ang requirements para sa birth certificate?,Citizen Charter,"birth,requirements",
52,City Civil Registrar's Office,birth_certificate_requirements,tl,Anong mga dokumento ang kailangan para sa birth certificate?,Citizen Charter,"birth,requirements",
53,City Civil Registrar's Office,birth_certificate_requirements,tl,Ano po ang kailangan dalhin para sa birth certificate?,Citizen Charter,"birth,requirements",
54,City Civil Registrar's Office,birth_certificate_requirements,tl,Ano ang mga requirements sa birth cert?,Citizen Charter,"birth,requirements",
55,City Civil Registrar's Office,birth_certificate_requirements,bis,Unsa ang requirements sa birth certificate?,Citizen Charter,"birth,requirements",
56,City Civil Registrar's Office,birth_certificate_requirements,bis,Unsa nga mga dokumento ang kinahanglan para sa birth certificate?,Citizen Charter,"birth,requirements",
57,City Civil Registrar's Office,birth_certificate_requirements,bis,Unsa ang dad-on para sa birth certificate?,Citizen Charter,"birth,requirements",
58,City Civil Registrar's Office,birth_certificate_requirements,bis,Unsa ang requirements sa pag request og birth cert?,Citizen Charter,"birth,requirements",
59,City Mayor's Office,business_permit_fee,en,How much is the business permit fee?,Citizen Charter,"business,permit,fee",
60,City Mayor's Office,business_permit_fee,en,What is the cost of a business permit?,Citizen Charter,"business,permit,fee",
61,City Mayor's Office,business_permit_fee,en,How much do I pay for a business permit?,Citizen Charter,"business,permit,fee",
62,City Mayor's Office,business_permit_fee,en,What are the fees for business permit?,Citizen Charter,"business,permit,fee",
63,City Mayor's Office,business_permit_fee,en,Business permit fee amount?,Citizen Charter,"business,permit,fee",
64,City Mayor's Office,business_permit_fee,tl,Magkano ang bayad sa business permit?,Citizen Charter,"business,permit,fee",
65,City Mayor's Office,business_permit_fee,tl,Ano ang halaga ng business permit?,Citizen Charter,"business,permit,fee",
66,City Mayor's Office,business_permit_fee,tl,Magkano po ang business permit?,Citizen Charter,"business,permit,fee",
67,City Mayor's Office,business_permit_fee,tl,Anong fee ng business permit?,Citizen Charter,"business,permit,fee",
68,City Mayor's Office,business_permit_fee,bis,Pila ang bayad sa business permit?,Citizen Charter,"business,permit,fee",
69,City Mayor's Office,business_permit_fee,bis,Pila ang total bayad sa business permit?,Citizen Charter,"business,permit,fee",
70,City Mayor's Office,business_permit_fee,bis,Tagpila ang business permit?,Citizen Charter,"business,permit,fee",
71,City Mayor's Office,business_permit_fee,bis,Pila ang fee sa business permit?,Citizen Charter,"business,permit,fee",
72,City Treasurer's Office,real_property_tax_payment,en,How do I pay real property tax?,Citizen Charter,"real property tax,payment",
73,City Treasurer's Office,real_property_tax_payment,en,Where do I pay real property tax?,Citizen Charter,"real property tax,payment",
74,City Treasurer's Office,real_property_tax_payment,en,What is the process for paying real property tax?,Citizen Charter,"real property tax,payment",
75,City Treasurer's Office,real_property_tax_payment,en,I want to pay my property tax,Citizen Charter,"real property tax,payment",
76,City Treasurer's Office,real_property_tax_payment,en,How to settle real property tax?,Citizen Charter,"real property tax,payment",
77,City Treasurer's Office,real_property_tax_payment,en,Property tax payment process?,Citizen Charter,"real property tax,payment",
78,City Treasurer's Office,real_property_tax_payment,tl,Paano magbayad ng real property tax?,Citizen Charter,"real property tax,payment",
79,City Treasurer's Office,real_property_tax_payment,tl,Saan magbabayad ng real property tax?,Citizen Charter,"real property tax,payment",
80,City Treasurer's Office,real_property_tax_payment,tl,Gusto ko magbayad ng property tax,Citizen Charter,"real property tax,payment",
81,City Treasurer's Office,real_property_tax_payment,tl,Paano po ang pagbabayad ng amilyar?,Citizen Charter,"real property tax,payment",
82,City Treasurer's Office,real_property_tax_payment,bis,Unsaon pagbayad sa real property tax?,Citizen Charter,"real property tax,payment",
83,City Treasurer's Office,real_property_tax_payment,bis,Asa magbayad sa real property tax?,Citizen Charter,"real property tax,payment",
84,City Treasurer's Office,real_property_tax_payment,bis,Gusto ko mobayad sa property tax,Citizen Charter,"real property tax,payment",
85,City Treasurer's Office,real_property_tax_payment,bis,Unsaon pag bayad sa amilyar?,Citizen Charter,"real property tax,payment",
86,City Treasurer's Office,real_property_tax_due_date,en,When is the due date for real property tax?,Citizen Charter,"real property tax,due date",
87,City Treasurer's Office,real_property_tax_due_date,en,What is the deadline for real property tax payment?,Citizen Charter,"real property tax,due date",
88,City Treasurer's Office,real_property_tax_due_date,en,When should I pay my real property tax?,Citizen Charter,"real property tax,due date",
89,City Treasurer's Office,real_property_tax_due_date,en,Deadline for property tax?,Citizen Charter,"real property tax,due date",
90,City Treasurer's Office,real_property_tax_due_date,en,When is property tax due?,Citizen Charter,"real property tax,due date",
91,City Treasurer's Office,real_property_tax_due_date,tl,Kailan ang due date ng real property tax?,Citizen Charter,"real property tax,due date",
92,City Treasurer's Office,real_property_tax_due_date,tl,Ano ang deadline ng pagbabayad ng real property tax?,Citizen Charter,"real property tax,due date",
93,City Treasurer's Office,real_property_tax_due_date,tl,Kailan dapat magbayad ng amilyar?,Citizen Charter,"real property tax,due date",
94,City Treasurer's Office,real_property_tax_due_date,tl,Kailan po ang deadline ng property tax?,Citizen Charter,"real property tax,due date",
95,City Treasurer's Office,real_property_tax_due_date,bis,Kanus-a ang due date sa real property tax?,Citizen Charter,"real property tax,due date",
96,City Treasurer's Office,real_property_tax_due_date,bis,Unsa ang deadline sa pagbayad sa real property tax?,Citizen Charter,"real property tax,due date",
97,City Treasurer's Office,real_property_tax_due_date,bis,Kanus-a dapat mobayad sa amilyar?,Citizen Charter,"real property tax,due date",
98,City Treasurer's Office,real_property_tax_due_date,bis,Kanus-a ang deadline sa property tax?,Citizen Charter,"real property tax,due date",
99,City Mayor's Office,inquiry_barangay_clearance_fee,en,How much is the barangay clearance for a business permit?,Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila",
100,City Mayor's Office,inquiry_barangay_clearance_fee,tl,Magkano ang bayad sa barangay clearance para sa business permit?,Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila",
101,City Mayor's Office,inquiry_barangay_clearance_fee,bis,Pila ang bayad sa barangay clearance para sa business permit?,Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila",
102,City Mayor's Office,cmo_renew_business_permit,en,How to renew my business permit?,Citizen Charter,"renew, business, permit",
103,City Mayor's Office,cmo_renew_business_permit,en,What are the requirements for business permit renewal?,Citizen Charter,"renew, business, permit",
104,City Mayor's Office,cmo_renew_business_permit,en,Business permit renewal process,Citizen Charter,"renew, business, permit",
105,City Mayor's Office,cmo_renew_business_permit,tl,Paano mag-renew ng business permit?,Citizen Charter,"renew, business, permit",
106,City Mayor's Office,cmo_renew_business_permit,tl,Ano kailangan para i-renew ang permit?,Citizen Charter,"renew, business, permit",
107,City Mayor's Office,cmo_renew_business_permit,bis,Unsaon pag renew sa business permit?,Citizen Charter,"renew, business, permit",
108,City Mayor's Office,cmo_renew_business_permit,bis,Unsa ang requirements para mag renew og permit?,Citizen Charter,"renew, business, permit",
109,City Mayor's Office,cmo_renew_business_permit,bis,Pag renew sa negosyo permit,Citizen Charter,"renew, business, permit",
110,City Mayor's Office,cmo_retire_business_permit,en,How to close my business?,Citizen Charter,"retire, business, permit",
111,City Mayor's Office,cmo_retire_business_permit,en,Retirement of business permit process,Citizen Charter,"retire, business, permit",
112,City Mayor's Office,cmo_retire_business_permit,en,What to do if I stop my business?,Citizen Charter,"retire, business, permit",
113,City Mayor's Office,cmo_retire_business_permit,tl,Paano magpasara ng negosyo?,Citizen Charter,"retire, business, permit",
114,City Mayor's Office,cmo_retire_business_permit,tl,Retirement ng business permit paano?,Citizen Charter,"retire, business, permit",
115,City Mayor's Office,cmo_retire_business_permit,bis,Unsaon pagpasira sa negosyo?,Citizen Charter,"retire, business, permit",
116,City Mayor's Office,cmo_retire_business_permit,bis,Unsaon pag apply og retirement sa business?,Citizen Charter,"retire, business, permit",
117,City Mayor's Office,cmo_retire_business_permit,bis,Manira nako sa ako negosyo,Citizen Charter,"retire, business, permit",
118,City Mayor's Office,cmo_mtop_franchise,en,How to get a tricycle franchise?,Citizen Charter,"mtop, franchise",
119,City Mayor's Office,cmo_mtop_franchise,en,Requirements for MTOP application,Citizen Charter,"mtop, franchise",
120,City Mayor's Office,cmo_mtop_franchise,en,Motorized Tricycle Operators Permit process,Citizen Charter,"mtop, franchise",
121,City Mayor's Office,cmo_mtop_franchise,tl,Paano kumuha ng prangkisa sa tricycle?,Citizen Charter,"mtop, franchise",
122,City Mayor's Office,cmo_mtop_franchise,tl,Ano ang mga kailangan para sa MTOP?,Citizen Charter,"mtop, franchise",
123,City Mayor's Office,cmo_mtop_franchise,bis,Unsaon pagkuha og prangkisa sa tricycle?,Citizen Charter,"mtop, franchise",
124,City Mayor's Office,cmo_mtop_franchise,bis,Unsa ang requirements sa MTOP?,Citizen Charter,"mtop, franchise",
125,City Mayor's Office,cmo_mtop_franchise,bis,Mag apply og prangkisa para sa tricycle,Citizen Charter,"mtop, franchise",
126,City Mayor's Office,cmo_release_impounded_vehicle,en,How to claim my impounded motorcycle?,Citizen Charter,"release, impounded, vehicle",
127,City Mayor's Office,cmo_release_impounded_vehicle,en,Process for releasing an impounded vehicle,Citizen Charter,"release, impounded, vehicle",
128,City Mayor's Office,cmo_release_impounded_vehicle,en,I need to get my impounded car back,Citizen Charter,"release, impounded, vehicle",
129,City Mayor's Office,cmo_release_impounded_vehicle,tl,Paano kukunin ang na-impound na motor?,Citizen Charter,"release, impounded, vehicle",
130,City Mayor's Office,cmo_release_impounded_vehicle,tl,Ano ang proseso para makuha ang impounded na sasakyan?,Citizen Charter,"release, impounded, vehicle",
131,City Mayor's Office,cmo_release_impounded_vehicle,bis,Unsaon pagkuha sa na impound nga motor?,Citizen Charter,"release, impounded, vehicle",
132,City Mayor's Office,cmo_release_impounded_vehicle,bis,Asa mokuha sa na impound nga sakyanan?,Citizen Charter,"release, impounded, vehicle",
133,City Mayor's Office,cmo_release_impounded_vehicle,bis,Proseso para makuha ang impounded unit,Citizen Charter,"release, impounded, vehicle",
134,City Mayor's Office,cmo_building_permit,en,How to apply for a building permit?,Citizen Charter,"building, permit",
135,City Mayor's Office,cmo_building_permit,en,What are the requirements for building a house?,Citizen Charter,"building, permit",
136,City Mayor's Office,cmo_building_permit,en,Process for building permit application,Citizen Charter,"building, permit",
137,City Mayor's Office,cmo_building_permit,tl,Paano kumuha ng building permit?,Citizen Charter,"building, permit",
138,City Mayor's Office,cmo_building_permit,tl,Ano ang mga kailangan para sa building permit?,Citizen Charter,"building, permit",
139,City Mayor's Office,cmo_building_permit,bis,Unsaon pagkuha og building permit?,Citizen Charter,"building, permit",
140,City Mayor's Office,cmo_building_permit,bis,Unsa ang mga requirements sa building permit?,Citizen Charter,"building, permit",
141,City Mayor's Office,cmo_building_permit,bis,Magtukod ko ug balay unsay kailangan,Citizen Charter,"building, permit",
142,City Mayor's Office,cmo_mayors_clearance,en,How to get a Mayor's clearance?,Citizen Charter (Part 2),"mayors, clearance",
143,City Mayor's Office,cmo_mayors_clearance,en,Requirements for mayor clearance,Citizen Charter (Part 2),"mayors, clearance",
144,City Mayor's Office,cmo_mayors_clearance,en,Where do I get a clearance from the Mayor?,Citizen Charter (Part 2),"mayors, clearance",
145,City Mayor's Office,cmo_mayors_clearance,tl,Paano kumuha ng Mayor's clearance?,Citizen Charter (Part 2),"mayors, clearance",
146,City Mayor's Office,cmo_mayors_clearance,tl,Ano kailangan sa mayor's clearance?,Citizen Charter (Part 2),"mayors, clearance",
147,City Mayor's Office,cmo_mayors_clearance,bis,Unsaon pagkuha og mayor's clearance?,Citizen Charter (Part 2),"mayors, clearance",
148,City Mayor's Office,cmo_mayors_clearance,bis,Unsa ang requirements sa mayor's clearance?,Citizen Charter (Part 2),"mayors, clearance",
149,City Mayor's Office,cmo_mayors_clearance,bis,Kailangan nako mayor clearance para sa trabaho,Citizen Charter (Part 2),"mayors, clearance",
150,City Mayor's Office,cmo_occupational_permit,en,How to apply for an occupational permit?,Citizen Charter (Part 2),"occupational, permit",
151,City Mayor's Office,cmo_occupational_permit,en,What are the requirements for Mayor's working permit?,Citizen Charter (Part 2),"occupational, permit",
152,City Mayor's Office,cmo_occupational_permit,en,Process of getting occupational permit,Citizen Charter (Part 2),"occupational, permit",
153,City Mayor's Office,cmo_occupational_permit,tl,Paano kumuha ng occupational permit?,Citizen Charter (Part 2),"occupational, permit",
154,City Mayor's Office,cmo_occupational_permit,tl,Working permit requirements,Citizen Charter (Part 2),"occupational, permit",
155,City Mayor's Office,cmo_occupational_permit,bis,Unsaon pagkuha og occupational permit?,Citizen Charter (Part 2),"occupational, permit",
156,City Mayor's Office,cmo_occupational_permit,bis,Unsay requirements sa working permit sa mayor?,Citizen Charter (Part 2),"occupational, permit",
157,City Mayor's Office,cmo_occupational_permit,bis,Mokuha ko og permit kay manarbaho ko,Citizen Charter (Part 2),"occupational, permit",
158,City Mayor's Office,cmo_mtop_transfer,en,How to transfer tricycle franchise ownership?,Citizen Charter (Part 2),"mtop, transfer",
159,City Mayor's Office,cmo_mtop_transfer,en,MTOP transfer of ownership process,Citizen Charter (Part 2),"mtop, transfer",
160,City Mayor's Office,cmo_mtop_transfer,en,"I bought a tricycle, how to transfer MTOP?",Citizen Charter (Part 2),"mtop, transfer",
161,City Mayor's Office,cmo_mtop_transfer,tl,Paano ilipat ang pangalan ng prangkisa ng tricycle?,Citizen Charter (Part 2),"mtop, transfer",
162,City Mayor's Office,cmo_mtop_transfer,tl,Requirements para sa transfer ng MTOP,Citizen Charter (Part 2),"mtop, transfer",
163,City Mayor's Office,cmo_mtop_transfer,bis,Unsaon pag transfer sa pangalan sa prangkisa?,Citizen Charter (Part 2),"mtop, transfer",
164,City Mayor's Office,cmo_mtop_transfer,bis,Nipalit ko og tricycle unsaon pagbalhin sa mtop?,Citizen Charter (Part 2),"mtop, transfer",
165,City Mayor's Office,cmo_mtop_transfer,bis,Transfer of ownership sa tricycle,Citizen Charter (Part 2),"mtop, transfer",
166,City Mayor's Office,cmo_driver_id,en,How to get a tricycle driver's ID?,Citizen Charter (Part 2),"driver, id",
167,City Mayor's Office,cmo_driver_id,en,Requirements for MTOP driver ID,Citizen Charter (Part 2),"driver, id",
168,City Mayor's Office,cmo_driver_id,en,I need a driver's ID for my tricycle,Citizen Charter (Part 2),"driver, id",
169,City Mayor's Office,cmo_driver_id,tl,Paano kumuha ng ID ng driver ng tricycle?,Citizen Charter (Part 2),"driver, id",
170,City Mayor's Office,cmo_driver_id,tl,Ano kailangan para sa driver's ID?,Citizen Charter (Part 2),"driver, id",
171,City Mayor's Office,cmo_driver_id,bis,Unsaon pagkuha og ID sa drayber sa tricycle?,Citizen Charter (Part 2),"driver, id",
172,City Mayor's Office,cmo_driver_id,bis,Asa makakuha og driver's id para sa trisikad?,Citizen Charter (Part 2),"driver, id",
173,City Mayor's Office,cmo_driver_id,bis,Requirements sa tricycle driver ID,Citizen Charter (Part 2),"driver, id",
174,City Mayor's Office,cmo_special_permit,en,How to get a permit for a motorcade?,Citizen Charter (Part 2),"special, permit",
175,City Mayor's Office,cmo_special_permit,en,Special permit for events,Citizen Charter (Part 2),"special, permit",
176,City Mayor's Office,cmo_special_permit,en,How to apply for Mayor's special permit?,Citizen Charter (Part 2),"special, permit",
177,City Mayor's Office,cmo_special_permit,tl,Paano kumuha ng permit para sa event?,Citizen Charter (Part 2),"special, permit",
178,City Mayor's Office,cmo_special_permit,tl,Permit para sa motorcade o recurida,Citizen Charter (Part 2),"special, permit",
179,City Mayor's Office,cmo_special_permit,bis,Unsaon pagkuha og permit para mag motorcade?,Citizen Charter (Part 2),"special, permit",
180,City Mayor's Office,cmo_special_permit,bis,Permit para mag pa event,Citizen Charter (Part 2),"special, permit",
181,City Mayor's Office,cmo_special_permit,bis,Unsay requirements sa special permit?,Citizen Charter (Part 2),"special, permit",
182,City Mayor's Office,cmo_marriage_solemnization,en,How to get married by the Mayor?,Citizen Charter (Part 2),"marriage, solemnization",
183,City Mayor's Office,cmo_marriage_solemnization,en,Process for civil wedding at the Mayor's office,Citizen Charter (Part 2),"marriage, solemnization",
184,City Mayor's Office,cmo_marriage_solemnization,en,Requirements for marriage solemnization,Citizen Charter (Part 2),"marriage, solemnization",
185,City Mayor's Office,cmo_marriage_solemnization,tl,Paano magpakasal sa Mayor?,Citizen Charter (Part 2),"marriage, solemnization",
186,City Mayor's Office,cmo_marriage_solemnization,tl,Ano kailangan sa civil wedding sa city hall?,Citizen Charter (Part 2),"marriage, solemnization",
187,City Mayor's Office,cmo_marriage_solemnization,bis,Unsaon pagpakasal sa Mayor?,Citizen Charter (Part 2),"marriage, solemnization",
188,City Mayor's Office,cmo_marriage_solemnization,bis,Gusto mi magpa civil wedding unsay requirements?,Citizen Charter (Part 2),"marriage, solemnization",
189,City Mayor's Office,cmo_marriage_solemnization,bis,Kasal sa mayor proseso,Citizen Charter (Part 2),"marriage, solemnization",
190,City Mayor's Office,cmo_job_recommendation,en,How to get a job recommendation from the Mayor?,Citizen Charter (Part 2),"job, recommendation",
191,City Mayor's Office,cmo_job_recommendation,en,Mayor's endorsement for employment,Citizen Charter (Part 2),"job, recommendation",
192,City Mayor's Office,cmo_job_recommendation,en,Can I ask for a recommendation letter for work?,Citizen Charter (Part 2),"job, recommendation",
193,City Mayor's Office,cmo_job_recommendation,tl,Paano makakuha ng recommendation letter sa Mayor para sa trabaho?,Citizen Charter (Part 2),"job, recommendation",
194,City Mayor's Office,cmo_job_recommendation,tl,Endorsement sa trabaho galing sa mayor,Citizen Charter (Part 2),"job, recommendation",
195,City Mayor's Office,cmo_job_recommendation,bis,Unsaon pagkuha og recommendation sa Mayor para sa trabaho?,Citizen Charter (Part 2),"job, recommendation",
196,City Mayor's Office,cmo_job_recommendation,bis,Mangayo ko endorsement para sa applayan nako,Citizen Charter (Part 2),"job, recommendation",
197,City Mayor's Office,cmo_job_recommendation,bis,Recommendation letter proseso,Citizen Charter (Part 2),"job, recommendation",
198,City Mayor's Office,cmo_financial_assistance,en,How to ask for medical assistance from the Mayor?,Citizen Charter (Part 2),"financial, assistance",
199,City Mayor's Office,cmo_financial_assistance,en,Financial assistance requirements,Citizen Charter (Part 2),"financial, assistance",
200,City Mayor's Office,cmo_financial_assistance,en,Process for hospital bill assistance,Citizen Charter (Part 2),"financial, assistance",
201,City Mayor's Office,cmo_financial_assistance,tl,Paano humingi ng tulong pinansyal sa Mayor?,Citizen Charter (Part 2),"financial, assistance",
202,City Mayor's Office,cmo_financial_assistance,tl,Requirements para sa medical assistance,Citizen Charter (Part 2),"financial, assistance",
203,City Mayor's Office,cmo_financial_assistance,bis,Unsaon pagpangayo og tabang pinansyal sa Mayor?,Citizen Charter (Part 2),"financial, assistance",
204,City Mayor's Office,cmo_financial_assistance,bis,Unsay requirements sa medical assistance?,Citizen Charter (Part 2),"financial, assistance",
205,City Mayor's Office,cmo_financial_assistance,bis,Tabang para sa bayranan sa ospital,Citizen Charter (Part 2),"financial, assistance",
206,City Mayor's Office,cmo_scholarship,en,How to apply for Mayor's scholarship?,Citizen Charter (Part 2),scholarship,
207,City Mayor's Office,cmo_scholarship,en,Requirements for educational assistance,Citizen Charter (Part 2),scholarship,
208,City Mayor's Office,cmo_scholarship,en,City scholarship application process,Citizen Charter (Part 2),scholarship,
209,City Mayor's Office,cmo_scholarship,tl,Paano mag-apply ng scholarship sa Mayor?,Citizen Charter (Part 2),scholarship,
210,City Mayor's Office,cmo_scholarship,tl,Ano kailangan para sa educational assistance?,Citizen Charter (Part 2),scholarship,
211,City Mayor's Office,cmo_scholarship,bis,Unsaon pag apply og scholarship sa Mayor?,Citizen Charter (Part 2),scholarship,
212,City Mayor's Office,cmo_scholarship,bis,Unsay requirements sa scholarship?,Citizen Charter (Part 2),scholarship,
213,City Mayor's Office,cmo_scholarship,bis,Gusto ko mo apply sa educational assistance,Citizen Charter (Part 2),scholarship,
214,City Mayor's Office,cmo_tricycle_dropping,en,How to drop tricycle franchise?,Citizen Charter (Part 2),"tricycle, dropping",
215,City Mayor's Office,cmo_tricycle_dropping,en,Process for dropping of MTOP,Citizen Charter (Part 2),"tricycle, dropping",
216,City Mayor's Office,cmo_tricycle_dropping,en,I want to cancel my tricycle franchise,Citizen Charter (Part 2),"tricycle, dropping",
217,City Mayor's Office,cmo_tricycle_dropping,tl,Paano i-drop ang prangkisa ng tricycle?,Citizen Charter (Part 2),"tricycle, dropping",
218,City Mayor's Office,cmo_tricycle_dropping,tl,Requirements para ipasara ang MTOP,Citizen Charter (Part 2),"tricycle, dropping",
219,City Mayor's Office,cmo_tricycle_dropping,bis,Unsaon pag drop sa prangkisa sa tricycle?,Citizen Charter (Part 2),"tricycle, dropping",
220,City Mayor's Office,cmo_tricycle_dropping,bis,Ipasira nako akong franchise sa tricycle,Citizen Charter (Part 2),"tricycle, dropping",
221,City Mayor's Office,cmo_tricycle_dropping,bis,Dropping of MTOP proseso,Citizen Charter (Part 2),"tricycle, dropping",
222,City Mayor's Office,cmo_franchise_renewal,en,How to renew tricycle franchise?,Citizen Charter (Part 2),"franchise, renewal",
223,City Mayor's Office,cmo_franchise_renewal,en,MTOP renewal requirements,Citizen Charter (Part 2),"franchise, renewal",
224,City Mayor's Office,cmo_franchise_renewal,en,Process for renewing my tricycle MTOP,Citizen Charter (Part 2),"franchise, renewal",
225,City Mayor's Office,cmo_franchise_renewal,tl,Paano i-renew ang prangkisa ng tricycle?,Citizen Charter (Part 2),"franchise, renewal",
226,City Mayor's Office,cmo_franchise_renewal,tl,Requirements sa renewal ng MTOP,Citizen Charter (Part 2),"franchise, renewal",
227,City Mayor's Office,cmo_franchise_renewal,bis,Unsaon pag renew sa prangkisa sa tricycle?,Citizen Charter (Part 2),"franchise, renewal",
228,City Mayor's Office,cmo_franchise_renewal,bis,Unsay kailangan sa pag renew sa MTOP?,Citizen Charter (Part 2),"franchise, renewal",
229,City Mayor's Office,cmo_franchise_renewal,bis,Mag renew ko sa akong tricycle,Citizen Charter (Part 2),"franchise, renewal",
230,City Mayor's Office,cmo_special_business_permit,en,How to get a permit for a trade fair?,Citizen Charter (Part 2),"special, business, permit",
231,City Mayor's Office,cmo_special_business_permit,en,Special business permit for peryahan,Citizen Charter (Part 2),"special, business, permit",
232,City Mayor's Office,cmo_special_business_permit,en,Permit for temporary stalls,Citizen Charter (Part 2),"special, business, permit",
233,City Mayor's Office,cmo_special_business_permit,tl,Paano kumuha ng permit para sa peryahan?,Citizen Charter (Part 2),"special, business, permit",
234,City Mayor's Office,cmo_special_business_permit,tl,Special permit para sa trade fair,Citizen Charter (Part 2),"special, business, permit",
235,City Mayor's Office,cmo_special_business_permit,bis,Unsaon pagkuha og permit para sa peryahan?,Citizen Charter (Part 2),"special, business, permit",
