Department,Service Name,Requirements,Process,Fee,Location
City Mayor's Office - Permits & Inspections,32. Issuance of Traffic Clearance,,,,
City Mayor's Office - Permits & Inspections,33. Releasing of Impounded Vehicle,,,,
City Mayor's Office - Permits & Inspections,34. Issuance of Building Permit,,,,
City Mayor's Office - Permits & Inspections,35. Issuance of Occupancy Permit,,,,
City Mayor's Office - Permits & Inspections,36. Issuance of Miscellaneous Electrical Permit,,,,
City Mayor's Office - Permits & Inspections,37. Issuance of Fencing Permit,,,,
City Mayor's Office - Permits & Inspections,38. Issuance of Sign Permit,,,,
City Mayor's Office - Permits & Inspections,39. Issuance of Ground Preparation and Excavation Permit,,,,
City Mayor's Office - Permits & Inspections,40. Issuance of Demolition Permit,,,,
City Mayor's Office - Permits & Inspections,41. Review and Endorsement of GAD Plan and Budget,,,,
City Mayor's Office - Permits & Inspections,"42. Request for Technical Support/Services, Data Banking, R&D",,,,
City Mayor's Office - Permits & Inspections,43. Issuance of Review of Findings and Recommendations,,,,
City Mayor's Office - Permits & Inspections,44. Facilitation for YORP Accreditation,,,,
City Mayor's Office - Permits & Inspections,45. Request for Anti-Drug Symposium,,,,
City Mayor's Office - Permits & Inspections,46. Issuance of Indigenous People (IP) Certification,,,,
City Mayor's Office - Permits & Inspections,47. Issuance of Tribal Identification Card (ID),,,,
City Mayor's Office - Permits & Inspections,48. Issuance of Muslim Certification,,,,
City Mayor's Office - Permits & Inspections,49. Availment of Pre-Registration Seminar,,,,
City Mayor's Office - Permits & Inspections,50. Request for Facilitation in Trainings and Seminars,,,,
3. Business Taxes (Article 8),,,,,
,,,,,
Calculated based on gross sales/receipts from the preceding calendar year.,,,,,
,,,,,
Category,Gross Sales/Receipts Brackets (Preceding Year),Amount of Tax per Annum (PHP),,,
"(a) Manufacturers, producers, assemblers, brewers, etc.","Less than 10,000.00",198,,,
,"10,000.00 or more but less than 15,000.00",264,,,
,"15,000.00 or more but less than 20,000.00",362.4,,,
,"20,000.00 or more but less than 30,000.00",528,,,
,"30,000.00 or more but less than 40,000.00",792,,,
,"40,000.00 or more but less than 50,000.00",990,,,
,"50,000.00 or more but less than 75,000.00","1,584.00",,,
,"75,000.00 or more but less than 100,000.00","1,980.00",,,
,"100,000.00 or more but less than 150,000.00","2,640.00",,,
,"150,000.00 or more but less than 200,000.00","3,300.00",,,
,"200,000.00 or more but less than 300,000.00","4,620.00",,,
,"300,000.00 or more but less than 500,000.00","6,600.00",,,
,"500,000.00 or more but less than 750,000.00","9,600.00",,,
,"750,000.00 or more but less than 1,000,000.00","12,000.00",,,
,"1,000,000.00 or more but less than 2,000,000.00","16,500.00",,,
,"2,000,000.00 or more but less than 3,000,000.00","19,800.00",,,
,"3,000,000.00 or more but less than 4,000,000.00","23,760.00",,,
,"4,000,000.00 or more but less than 5,000,000.00","27,720.00",,,
,"5,000,000.00 or more but less than 6,500,000.00","29,250.00",,,
,"In excess of 6,500,000.00",40% of 1%,,,
"(b) Wholesalers, distributors, importers, or dealers","Less than P 1,000.00",21.6,,,
,"1,000.00 or more but less than 2,000.00",39.6,,,
,"2,000.00 or more but less than 3,000.00",60,,,
,"3,000.00 or more but less than 4,000.00",86.4,,,
,"4,000.00 or more but less than 5,000.00",120,,,
,"5,000.00 or more but less than 6,000.00",145.2,,,
,"6,000.00 or more but less than 7,000.00",171.6,,,
,"7,000.00 or more but less than 8,000.00",198,,,
,"8,000.00 or more but less than 10,000.00",224.4,,,
,"10,000.00 or more but less than 15,000.00",264,,,
,"15,000.00 or more but less than 20,000.00",330,,,
,"20,000.00 or more but less than 30,000.00",396,,,
,"30,000.00 or more but less than 40,000.00",528,,,
,"40,000.00 or more but less than 50,000.00",792,,,
,"50,000.00 or more but less than 75,000.00","1,188.00",,,
,"75,000.00 or more but less than 100,000.00","1,584.00",,,
,"100,000.00 or more but less than 150,000.00","2,244.00",,,
,"150,000.00 or more but less than 200,000.00","2,904.00",,,
,"200,000.00 or more but less than 300,000.00","3,960.00",,,
,"300,000.00 or more but less than 500,000.00","5,280.00",,,
,"500,000.00 or more but less than 750,000.00","7,920.00",,,
,"750,000.00 or more but less than 1,000,000.00","10,560.00",,,
,"1,000,000.00 or more but less than 2,000,000.00","12,000.00",,,
,"2,000,000.00 or more",53% of 1%,,,
(e) Retailers,"Less than P400,000.00",2.15%,,,
,"P400,000","8,600.00",,,
,"In excess of P400,000.00","8,600.00 + 1.5% of amount over P400k",,,
(f) Contractors and independent contractors,"Less than 5,000.00",33,,,
,"5,000.00 or more but less than 10,000.00",73.92,,,
,"10,000.00 or more but less than 15,000.00",125.4,,,
,"15,000.00 or more but less than 20,000.00",198,,,
,"20,000.00 or more but less than 30,000.00",330,,,
,"30,000.00 or more but less than 40,000.00",462,,,
,"40,000.00 or more but less than 50,000.00",660,,,
,"50,000.00 or more but less than 75,000.00","1,056.00",,,
,"75,000.00 or more but less than 100,000.00","1,584.00",,,
,"100,000.00 or more but less than 150,000.00","2,376.00",,,
,"150,000.00 or more but less than 200,000.00","3,168.00",,,
,"200,000.00 or more but less than 250,000.00","4,356.00",,,
,"250,000.00 or more but less than 300,000.00","5,544.00",,,
,"300,000.00 or more but less than 400,000.00","7,392.00",,,
,"400,000.00 or more but less than 500,000.00","9,900.00",,,
,"500,000.00 or more but less than 750,000.00","11,100.00",,,
,"750,000.00 or more but less than 1,000,000.00","12,300.00",,,
,"1,000,000.00 or more but less than 2,000,000.00","13,800.00",,,
,"In excess of 2,000,000.00",53% of 1%,,,
(g) Banks and other financial institutions,Gross receipts of preceding calendar year,75% of 1%,,,
"(h) Restaurants, amusement places, brokers, travel agents, lodging, subdivision owners",Gross sales or receipts of preceding calendar year,2.50%,,,
(i) Owners/operators of any business not specified above,Gross sales and/or receipts of preceding calendar year,2.50%,,,
4. Mayor's Permit Fees (Article 19),,,,,
,,,,,
Asset Size Definitions: Cottage (P500k & below); Small (Over P500k to P2M); Medium (Over P2M to P10M); Large (Over P10M).,,,,,
,,,,,
Business Category,Cottage,Small,Medium,Large,
Manufacturers/Importers/Producers/Exporters,"PHP 1,000.00","PHP 5,000.00","PHP 10,000.00","PHP 15,000.00",
"Banks (Rural, Thrift, Savings)","PHP 5,000.00","PHP 5,000.00","PHP 5,000.00","PHP 5,000.00",
"Banks (Commercial, Industrial, Development)","PHP 10,000.00","PHP 10,000.00","PHP 10,000.00","PHP 10,000.00",
Banks (Universal),"PHP 15,000.00","PHP 15,000.00","PHP 15,000.00","PHP 15,000.00",
Other Financial Institutions,"PHP 1,000.00","PHP 3,000.00","PHP 5,000.00","PHP 7,000.00",
Contractors/Service Establishments,"PHP 1,000.00","PHP 5,000.00","PHP 10,000.00","PHP 15,000.00",
Wholesalers/Retailers/Dealers/Distributors,"PHP 1,000.00","PHP 5,000.00","PHP 10,000.00","PHP 15,000.00",
Transloading Operations,"PHP 1,000.00","PHP 5,000.00","PHP 10,000.00","PHP 15,000.00",
Gasoline,"PHP 5,000.00","PHP 10,000.00","PHP 15,000.00","PHP 25,000.00",
Other Businesses,PHP 500.00,"PHP 1,000.00","PHP 3,000.00","PHP 5,000.00",
Sari-Sari Store,PHP 200.00 (Flat Rate),-,-,-,
"5. Health, Sanitary, Environmental & Garbage Fees",,,,,
,,,,,
"Extracted from Articles 50, 52, 54, and 55. I’ve merged them into categories for easier sorting in your spreadsheet.",,,,,
,,,,,
Fee Category,Description/Establishment Type,Amount (PHP),,,
Health Certificate (Annual),Standard,60,,,
,Food Service personnel,70,,,
,Entertainment service personnel,100,,,
,Managerial / supervisory personnel,100,,,
Sanitary Inspection Fees,Building,250,,,
,Poultry / Piggery Projects,350,,,
,Food Processing (Small / Medium / Large),100.00 / 300.00 / 500.00,,,
,"Other business, ind., comm. agricultural / Transport",500,,,
Sanitary Permit Fees,Cleaning septic vaults / Cellsites,300.00 / 500.00,,,
,Transfer cadaver / Exhumation,200,,,
,Cert. of water potability / True copy doc,60,,,
,Smoking Area Sticker / Smoking Area Permit,100,,,
Sanitary Permits (Specifics),Airline/shipping,"5,000.00",,,
,Banks/financial inst.,750,,,
,Gasoline stations / Private hospitals (Secondary),500,,,
,Private hospitals (Tertiary) / Telecoms,"1,000.00",,,
,Private hospitals (Primary),200,,,
,Dwellings for rent: Hotels/Buildings (per room/space),60,,,
,Dwellings: Appartels/Pensions/Condos (per room),45,,,
,Dwellings: Commercial apartments (per space),500,,,
,Dwellings: Dorms/boarding (per boarder) / Institutions (teaching rm),30,,,
,Dwellings: Residential house (w/ garage/pool),750,,,
,Dwellings: Residential house (w/o garage/pool),300,,,
,Media facilities / Breweries / Theaters,600.00 / 350.00 / 350.00,,,
,Restaurants/Bars/Food Processing/Funeral Parlors,500,,,
,"All other unmentioned (Area 1,000 sq.m or more)","1,000.00",,,
,All other unmentioned (Area <25 sq.m),25,,,
Environmental Hazard Fee,"Industrial, Quarrying, Agro-Ind, Hospitals, Piggery, Gas, Waste",500,,,
,"Resorts, Leisure Parks, Unmentioned",300,,,
Sanitary Landfill Maintenance,10 Wheeler+ / 6 Wheeler / 4 Wheeler / Pedicab,50.00 / 40.00 / 30.00 / 20.00 (per entry),,,
Annual Garbage Fees,Funeral Parlors (with embalming) / Hotels (>100 rooms),"1,000.00 / 1,200.00",,,
,Hospitals (300+ beds) / Supermarkets,"1,500.00 / 1,000.00",,,
,"Banks, Insurance, Bars, Day/Night Clubs, Stevedoring (>P500k)",500,,,
,Restaurants (51+ seating capacity),"1,200.00",,,
,"Universities/Colleges (10,000+ students)","1,300.00",,,
,"Universities/Colleges (<1,000 students)",300,,,
,Variety Stores (<P1k capital) / (P1k-P5k) (>P5k),75.00 / 150.00 / 250.00,,,
6. Barangay Clearance Fees (Annex B),,,,,
,,,,,
Requirements for business-related transactions based on specific barangay ordinances.,,,,,
,,,,,
Barangay Name,Ordinance No.,Fee Details (PHP),,,
A.O. FLOIRENDO,"NO. 1, s. 2024",For Business Permit- 75.00,,,
BUENAVISTA,-,-,,,
CACAO,"NO. 01, s. 2024",100,,,
CAGANGOHAN,"NO. 01-09, Sept 5, 2009",Sari-sari/business (<50k): 50.00; Partnership: 300.00; Corp: 500.00; NGO: 250.00; >50k: 250.00,,,
CONSOLACION,"NO. 2, s. 2025",100,,,
DAPCO,"NO. 04-15, Oct 21, 2015",100,,,
DATU ABDUL,"NO. 2, Sept 15, 2014",50,,,
GREDU,"NO. 01-14, Nov 6, 2024",New: 100.00; Renew Small (<50k): 100.00; Renew Med (51k-300k): 200.00; Big (>300k): 500.00,,,
J.P. LAUREL,"NO. 3, s. 2024","Sari-sari: 100.00; Commercial/Est: 1,000.00; Karenderia: 500.00; Offices: 500.00",,,
KASILAK,-,-,,,
KATIPUNAN,"NO. 01, s. 2025",Brgy. Clearance for Application of Business Permit- 100.00,,,
KATUALAN,-,-,,,
KAUSWAGAN,"NO. 1, Feb 21, 2023",150,,,
KIOTOY,"NO. 02, s. 2025",Sari-sari/Carenderia/Parlor: 150.00; Grocery/Dept/Lumber: 300.00; Bakery/Hardware: 200.00; etc.,,,
LITTLE PANAY,"NO. 01, July 6, 2020",50,,,
LOWER PANAGA,-,-,,,
MABUNAO,"NO. 04, Mar 7, 2023",100,,,
MADUAO,"NO. 7, Feb 21, 2024",Sari-sari/Seller: 100.00; Company Businesses: 500.00/yearly,,,
MALATIVAS,"NO. 2, s. 2024",Application of Business Permit- 100.00,,,
MANAY,"NO. 01, s. 2009",Securing/Renewal of Business Permit- 50.00,,,
NANYO,"NO. 1, Nov 3, 2016",Small Establishments: 100.00; Big Establishments: 500.00,,,
NEW MALAGA,"NO. 08, s. 2025",Sari-sari/Eatery/Bakery/Poultry (<50k): 100.00; (>50k): 150.00; Water refilling: 600.00,,,
NEW MALITBOG,NO. 1-2015,For Business Fee- 500.00/year,,,
NEW PANDAN,"NO. 05, s. 2024","Sari-sari/Junk shop/Vendor: 200.00; Commercial Est/Banks: 500.00-1,000.00",,,
NEW VISAYAS,"NO. 05, s. 2024",For business and entertainment activity permits- 100.00,,,
QUEZON,"NO. 03, s. 2018",Business Permit: 500.00; Sari-sari Store: 200.00,,,
SALVACION,"NO. 01, May 7, 2014",Sari-sari: 150.00; Eatery: 200.00; Big Establishment: 650.00,,,
SAN FRANCISCO,"NO. 01-24, s. 2024",For Business Permit- 150.00,,,
SAN NICOLAS,"NO. 09, s. 2024",Poultry/Piggery/Resorts: 300.00; Buildings: 200.00; Sari-sari (<50k): 50.00; (>50k): 100.00,,,
SAN PEDRO,"NO. 03, s. 2024",For Business Permit- 200.00,,,
SAN ROQUE,"NO. 2, Sept 4, 2023",100,,,
SAN VICENTE,"NO. 01, Dec 15, 2008",50,,,
SINDATON,-,-,,,
SOUTHERN DAVAO,"NO. 13, s. 2024","Sari-sari <50k: 200.00; Bakery: 500.00; Hardware/Resort: 1,000.00; Gas Station: 3,000.00",,,
STA. CRUZ,"NO. 06, Dec 3, 2014",50,,,
STO. NINO,"NO. 2, s. 2018",150,,,
TAGPORE,"NO. 2, s. 2025",100,,,
TIBUNGOL,"NO. 01, Sept 7, 2011",50,,,
UPPER LICANAN,"NO. 3, s. 2024",Sari-sari: 150.00; Dept Store: 300.00; Bakery: 200.00; Importers/Exporters: 500.00,,,
WATERFALL,"NO. 03, Feb 4, 2014",50,,,
