id,department,intent,language,question,answer,source,tags
31,Civil Registrar,birth_certificate_process,tl,Paano kumuha ng birth certificate?,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
32,Civil Registrar,birth_certificate_process,tl,Saan pupunta para kumuha ng birth certificate?,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
33,Civil Registrar,birth_certificate_process,tl,Gusto ko kumuha ng birth certificate,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
34,Civil Registrar,birth_certificate_process,tl,Paano po makakuha ng birth certificate?,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
35,Civil Registrar,birth_certificate_process,tl,Ano ang proseso para makakuha ng birth certificate?,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
36,Civil Registrar,birth_certificate_process,tl,Kailangan ko ng birth certificate paano?,"Para kumuha ng birth certificate, pumunta sa Civil Registrar's Office, sagutan ang request form, magsumite ng valid ID, at bayaran ang required fee.",Citizen Charter,"birth,certificate,process"
37,Civil Registrar,birth_certificate_process,bis,Unsaon pagkuha og birth certificate?,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
38,Civil Registrar,birth_certificate_process,bis,Asa ko moadto para makakuha og birth certificate?,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
39,Civil Registrar,birth_certificate_process,bis,Kabalo ka unsaon pag kuha ug birth certificate?,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
40,Civil Registrar,birth_certificate_process,bis,Gusto ko makakuha og birth certificate,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
41,Civil Registrar,birth_certificate_process,bis,Unsa ang proseso sa pagkuha og birth certificate?,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
42,Civil Registrar,birth_certificate_process,bis,Pag kuha og birth cert unsaon?,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
43,Civil Registrar,birth_certificate_process,bis,Mangayo ko og birth certificate,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
44,Civil Registrar,birth_certificate_process,bis,Kinahanglan nako og birth certificate,"Aron makakuha og birth certificate, adto sa Civil Registrar's Office, pun-a ang request form, isumite ang valid ID, ug bayri ang required fee.",Citizen Charter,"birth,certificate,process"
45,Civil Registrar,birth_certificate_requirements,en,What are the requirements for a birth certificate?,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
46,Civil Registrar,birth_certificate_requirements,en,What documents do I need for a birth certificate request?,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
47,Civil Registrar,birth_certificate_requirements,en,What do I need to bring for a birth certificate?,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
48,Civil Registrar,birth_certificate_requirements,en,Requirements for birth certificate?,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
49,Civil Registrar,birth_certificate_requirements,en,What should I prepare for birth certificate request?,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
50,Civil Registrar,birth_certificate_requirements,en,Birth certificate requirements list,"The usual requirements are a valid ID, completed request form, and authorization letter if filed by a representative.",Citizen Charter,"birth,requirements"
51,Civil Registrar,birth_certificate_requirements,tl,Ano ang requirements para sa birth certificate?,"Karaniwang requirements ang valid ID, completed request form, at authorization letter kung representative ang kukuha.",Citizen Charter,"birth,requirements"
52,Civil Registrar,birth_certificate_requirements,tl,Anong mga dokumento ang kailangan para sa birth certificate?,"Karaniwang requirements ang valid ID, completed request form, at authorization letter kung representative ang kukuha.",Citizen Charter,"birth,requirements"
53,Civil Registrar,birth_certificate_requirements,tl,Ano po ang kailangan dalhin para sa birth certificate?,"Karaniwang requirements ang valid ID, completed request form, at authorization letter kung representative ang kukuha.",Citizen Charter,"birth,requirements"
54,Civil Registrar,birth_certificate_requirements,tl,Ano ang mga requirements sa birth cert?,"Karaniwang requirements ang valid ID, completed request form, at authorization letter kung representative ang kukuha.",Citizen Charter,"birth,requirements"
55,Civil Registrar,birth_certificate_requirements,bis,Unsa ang requirements sa birth certificate?,"Kasagaran nga requirements mao ang valid ID, completed request form, ug authorization letter kung representative ang mokuha.",Citizen Charter,"birth,requirements"
56,Civil Registrar,birth_certificate_requirements,bis,Unsa nga mga dokumento ang kinahanglan para sa birth certificate?,"Kasagaran nga requirements mao ang valid ID, completed request form, ug authorization letter kung representative ang mokuha.",Citizen Charter,"birth,requirements"
57,Civil Registrar,birth_certificate_requirements,bis,Unsa ang dad-on para sa birth certificate?,"Kasagaran nga requirements mao ang valid ID, completed request form, ug authorization letter kung representative ang mokuha.",Citizen Charter,"birth,requirements"
58,Civil Registrar,birth_certificate_requirements,bis,Unsa ang requirements sa pag request og birth cert?,"Kasagaran nga requirements mao ang valid ID, completed request form, ug authorization letter kung representative ang mokuha.",Citizen Charter,"birth,requirements"
75,BPLO,business_permit_fee,en,How much is the business permit fee?,"Business permit fees depend on the type of business, capitalization, and applicable local ordinances. Please check the BPLO assessment for the exact amount.",Citizen Charter,"business,permit,fee"
76,BPLO,business_permit_fee,en,What is the cost of a business permit?,"Business permit fees depend on the type of business, capitalization, and applicable local ordinances. Please check the BPLO assessment for the exact amount.",Citizen Charter,"business,permit,fee"
77,BPLO,business_permit_fee,en,How much do I pay for a business permit?,"Business permit fees depend on the type of business, capitalization, and applicable local ordinances. Please check the BPLO assessment for the exact amount.",Citizen Charter,"business,permit,fee"
78,BPLO,business_permit_fee,en,What are the fees for business permit?,"Business permit fees depend on the type of business, capitalization, and applicable local ordinances. Please check the BPLO assessment for the exact amount.",Citizen Charter,"business,permit,fee"
79,BPLO,business_permit_fee,en,Business permit fee amount?,"Business permit fees depend on the type of business, capitalization, and applicable local ordinances. Please check the BPLO assessment for the exact amount.",Citizen Charter,"business,permit,fee"
80,BPLO,business_permit_fee,tl,Magkano ang bayad sa business permit?,"Ang bayad sa business permit ay depende sa uri ng negosyo, capitalization, at local ordinances. Tingnan ang BPLO assessment para sa eksaktong halaga.",Citizen Charter,"business,permit,fee"
81,BPLO,business_permit_fee,tl,Ano ang halaga ng business permit?,"Ang bayad sa business permit ay depende sa uri ng negosyo, capitalization, at local ordinances. Tingnan ang BPLO assessment para sa eksaktong halaga.",Citizen Charter,"business,permit,fee"
82,BPLO,business_permit_fee,tl,Magkano po ang business permit?,"Ang bayad sa business permit ay depende sa uri ng negosyo, capitalization, at local ordinances. Tingnan ang BPLO assessment para sa eksaktong halaga.",Citizen Charter,"business,permit,fee"
83,BPLO,business_permit_fee,tl,Anong fee ng business permit?,"Ang bayad sa business permit ay depende sa uri ng negosyo, capitalization, at local ordinances. Tingnan ang BPLO assessment para sa eksaktong halaga.",Citizen Charter,"business,permit,fee"
84,BPLO,business_permit_fee,bis,Pila ang bayad sa business permit?,"Ang bayad sa business permit magdepende sa klase sa negosyo, capitalization, ug local ordinances. Tan-awa ang BPLO assessment para sa eksaktong kantidad.",Citizen Charter,"business,permit,fee"
85,BPLO,business_permit_fee,bis,Pila ang total bayad sa business permit?,"Ang bayad sa business permit magdepende sa klase sa negosyo, capitalization, ug local ordinances. Tan-awa ang BPLO assessment para sa eksaktong kantidad.",Citizen Charter,"business,permit,fee"
86,BPLO,business_permit_fee,bis,Tagpila ang business permit?,"Ang bayad sa business permit magdepende sa klase sa negosyo, capitalization, ug local ordinances. Tan-awa ang BPLO assessment para sa eksaktong kantidad.",Citizen Charter,"business,permit,fee"
87,BPLO,business_permit_fee,bis,Pila ang fee sa business permit?,"Ang bayad sa business permit magdepende sa klase sa negosyo, capitalization, ug local ordinances. Tan-awa ang BPLO assessment para sa eksaktong kantidad.",Citizen Charter,"business,permit,fee"
88,Treasurer,real_property_tax_payment,en,How do I pay real property tax?,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
89,Treasurer,real_property_tax_payment,en,Where do I pay real property tax?,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
90,Treasurer,real_property_tax_payment,en,What is the process for paying real property tax?,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
91,Treasurer,real_property_tax_payment,en,I want to pay my property tax,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
92,Treasurer,real_property_tax_payment,en,How to settle real property tax?,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
93,Treasurer,real_property_tax_payment,en,Property tax payment process?,"To pay real property tax, visit the Treasurer's Office, present your tax declaration or tax bill, and pay the assessed amount at the cashier.",Citizen Charter,"real property tax,payment"
94,Treasurer,real_property_tax_payment,tl,Paano magbayad ng real property tax?,"Para magbayad ng real property tax, pumunta sa Treasurer's Office, ipakita ang tax declaration o tax bill, at bayaran ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
95,Treasurer,real_property_tax_payment,tl,Saan magbabayad ng real property tax?,"Para magbayad ng real property tax, pumunta sa Treasurer's Office, ipakita ang tax declaration o tax bill, at bayaran ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
96,Treasurer,real_property_tax_payment,tl,Gusto ko magbayad ng property tax,"Para magbayad ng real property tax, pumunta sa Treasurer's Office, ipakita ang tax declaration o tax bill, at bayaran ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
97,Treasurer,real_property_tax_payment,tl,Paano po ang pagbabayad ng amilyar?,"Para magbayad ng real property tax, pumunta sa Treasurer's Office, ipakita ang tax declaration o tax bill, at bayaran ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
98,Treasurer,real_property_tax_payment,bis,Unsaon pagbayad sa real property tax?,"Aron mobayad sa real property tax, adto sa Treasurer's Office, ipakita ang tax declaration o tax bill, ug bayri ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
99,Treasurer,real_property_tax_payment,bis,Asa magbayad sa real property tax?,"Aron mobayad sa real property tax, adto sa Treasurer's Office, ipakita ang tax declaration o tax bill, ug bayri ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
100,Treasurer,real_property_tax_payment,bis,Gusto ko mobayad sa property tax,"Aron mobayad sa real property tax, adto sa Treasurer's Office, ipakita ang tax declaration o tax bill, ug bayri ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
101,Treasurer,real_property_tax_payment,bis,Unsaon pag bayad sa amilyar?,"Aron mobayad sa real property tax, adto sa Treasurer's Office, ipakita ang tax declaration o tax bill, ug bayri ang assessed amount sa cashier.",Citizen Charter,"real property tax,payment"
102,Treasurer,real_property_tax_due_date,en,When is the due date for real property tax?,The due date for real property tax depends on local ordinances and payment schedules. Please check with the Treasurer's Office for the official deadline.,Citizen Charter,"real property tax,due date"
103,Treasurer,real_property_tax_due_date,en,What is the deadline for real property tax payment?,The due date for real property tax depends on local ordinances and payment schedules. Please check with the Treasurer's Office for the official deadline.,Citizen Charter,"real property tax,due date"
104,Treasurer,real_property_tax_due_date,en,When should I pay my real property tax?,The due date for real property tax depends on local ordinances and payment schedules. Please check with the Treasurer's Office for the official deadline.,Citizen Charter,"real property tax,due date"
105,Treasurer,real_property_tax_due_date,en,Deadline for property tax?,The due date for real property tax depends on local ordinances and payment schedules. Please check with the Treasurer's Office for the official deadline.,Citizen Charter,"real property tax,due date"
106,Treasurer,real_property_tax_due_date,en,When is property tax due?,The due date for real property tax depends on local ordinances and payment schedules. Please check with the Treasurer's Office for the official deadline.,Citizen Charter,"real property tax,due date"
107,Treasurer,real_property_tax_due_date,tl,Kailan ang due date ng real property tax?,Ang due date ng real property tax ay depende sa local ordinances at payment schedule. Makipag-ugnayan sa Treasurer's Office para sa opisyal na deadline.,Citizen Charter,"real property tax,due date"
108,Treasurer,real_property_tax_due_date,tl,Ano ang deadline ng pagbabayad ng real property tax?,Ang due date ng real property tax ay depende sa local ordinances at payment schedule. Makipag-ugnayan sa Treasurer's Office para sa opisyal na deadline.,Citizen Charter,"real property tax,due date"
109,Treasurer,real_property_tax_due_date,tl,Kailan dapat magbayad ng amilyar?,Ang due date ng real property tax ay depende sa local ordinances at payment schedule. Makipag-ugnayan sa Treasurer's Office para sa opisyal na deadline.,Citizen Charter,"real property tax,due date"
110,Treasurer,real_property_tax_due_date,tl,Kailan po ang deadline ng property tax?,Ang due date ng real property tax ay depende sa local ordinances at payment schedule. Makipag-ugnayan sa Treasurer's Office para sa opisyal na deadline.,Citizen Charter,"real property tax,due date"
111,Treasurer,real_property_tax_due_date,bis,Kanus-a ang due date sa real property tax?,Ang due date sa real property tax magdepende sa local ordinances ug payment schedule. Pakig-ugnay sa Treasurer's Office para sa opisyal nga deadline.,Citizen Charter,"real property tax,due date"
112,Treasurer,real_property_tax_due_date,bis,Unsa ang deadline sa pagbayad sa real property tax?,Ang due date sa real property tax magdepende sa local ordinances ug payment schedule. Pakig-ugnay sa Treasurer's Office para sa opisyal nga deadline.,Citizen Charter,"real property tax,due date"
113,Treasurer,real_property_tax_due_date,bis,Kanus-a dapat mobayad sa amilyar?,Ang due date sa real property tax magdepende sa local ordinances ug payment schedule. Pakig-ugnay sa Treasurer's Office para sa opisyal nga deadline.,Citizen Charter,"real property tax,due date"
114,Treasurer,real_property_tax_due_date,bis,Kanus-a ang deadline sa property tax?,Ang due date sa real property tax magdepende sa local ordinances ug payment schedule. Pakig-ugnay sa Treasurer's Office para sa opisyal nga deadline.,Citizen Charter,"real property tax,due date"
115,City Mayor's Office - BPLS / Barangay Level,inquiry_barangay_clearance_fee,en,How much is the barangay clearance for a business permit?,"The Barangay Clearance fee for a business permit varies depending on the specific ordinance of the barangay where your business is located and your gross sales or capitalization. For example, some barangays like A.O. Floirendo charge a flat rate of Php 75.00, while others like Cagangohan or Gredu charge between Php 50.00 to Php 500.00 depending on whether it is a small store or a large corporation. 

Please specify your barangay and business type for a more accurate estimate.",Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila"
116,City Mayor's Office - BPLS / Barangay Level,inquiry_barangay_clearance_fee,tl,Magkano ang bayad sa barangay clearance para sa business permit?,"Ang bayad sa Barangay Clearance ay nag-iiba depende sa ordinansa ng barangay kung saan nakatayo ang iyong negosyo at sa iyong gross sales o kapital. Halimbawa, ang A.O. Floirendo ay may flat rate na Php 75.00, habang ang mga barangay tulad ng Cagangohan at Gredu ay naniningil ng Php 50.00 hanggang Php 500.00 depende sa laki ng negosyo. 

Maaari mong ibigay ang iyong barangay at uri ng negosyo upang malaman ang eksaktong halaga.",Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila"
117,City Mayor's Office - BPLS / Barangay Level,inquiry_barangay_clearance_fee,bis,Pila ang bayad sa barangay clearance para sa business permit?,"Ang bayad sa Barangay Clearance magdepende sa ordinansa sa barangay kung asa nahimutang ang imong negosyo ug sa imong gross sales o kapital. Pananglitan, ang A.O. Floirendo nagapangayo og flat rate nga Php 75.00, samtang ang Cagangohan ug Gredu nagapangayo og Php 50.00 hantod Php 500.00 depende sa klase ug dako sa negosyo. 

Palihug isulti ang imong barangay ug klase sa negosyo para mahatag namo ang saktong kantidad.",Admin Dashboard,"barangay, clearance, fee, cost, business, magkano, pila"
126,City Mayor's Office - BPLS,cmo_renew_business_permit,en,How to renew my business permit?,"To **Renew your Business Permit** (done every January), follow these steps:

---
### 🏢 Renewal Process

**Steps:**
1. Submit documentary requirements (Previous Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Get assessed and secure the Order of Payment.
3. Pay at the City Treasurer's Office and get the Official Receipt.
4. Claim your renewed Business Permit and Clearances.

💰 **Cost:** Based on gross sales declaration and local tax code.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter,"renew, business, permit"
127,City Mayor's Office - BPLS,cmo_renew_business_permit,en,What are the requirements for business permit renewal?,"To **Renew your Business Permit** (done every January), follow these steps:

---
### 🏢 Renewal Process

**Steps:**
1. Submit documentary requirements (Previous Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Get assessed and secure the Order of Payment.
3. Pay at the City Treasurer's Office and get the Official Receipt.
4. Claim your renewed Business Permit and Clearances.

💰 **Cost:** Based on gross sales declaration and local tax code.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter,"renew, business, permit"
128,City Mayor's Office - BPLS,cmo_renew_business_permit,en,Business permit renewal process,"To **Renew your Business Permit** (done every January), follow these steps:

---
### 🏢 Renewal Process

**Steps:**
1. Submit documentary requirements (Previous Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Get assessed and secure the Order of Payment.
3. Pay at the City Treasurer's Office and get the Official Receipt.
4. Claim your renewed Business Permit and Clearances.

💰 **Cost:** Based on gross sales declaration and local tax code.
⏱️ **Processing Time:** Around 2-3 hours.",Citizen Charter,"renew, business, permit"
129,City Mayor's Office - BPLS,cmo_renew_business_permit,tl,Paano mag-renew ng business permit?,"Para i-**Renew ang inyong Business Permit** (ginagawa tuwing Enero), sundin ang mga sumusunod:

---
### 🏢 Renewal Process

**Steps:**
1. Isumite ang requirements (Nakaraang Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Magpa-assess at kunin ang Order of Payment.
3. Magbayad sa City Treasurer's Office at kunin ang Official Receipt.
4. Kunin ang inyong na-renew na Business Permit.

💰 **Bayad:** Depende sa gross sales declaration.
⏱️ **Processing Time:** Tinatayang 2-3 oras.",Citizen Charter,"renew, business, permit"
130,City Mayor's Office - BPLS,cmo_renew_business_permit,tl,Ano kailangan para i-renew ang permit?,"Para i-**Renew ang inyong Business Permit** (ginagawa tuwing Enero), sundin ang mga sumusunod:

---
### 🏢 Renewal Process

**Steps:**
1. Isumite ang requirements (Nakaraang Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Magpa-assess at kunin ang Order of Payment.
3. Magbayad sa City Treasurer's Office at kunin ang Official Receipt.
4. Kunin ang inyong na-renew na Business Permit.

💰 **Bayad:** Depende sa gross sales declaration.
⏱️ **Processing Time:** Tinatayang 2-3 oras.",Citizen Charter,"renew, business, permit"
131,City Mayor's Office - BPLS,cmo_renew_business_permit,bis,Unsaon pag renew sa business permit?,"Para mag-**Renew sa inyong Business Permit** (buhaton kada Enero), sunda kining mga steps:

---
### 🏢 Renewal Process

**Steps:**
1. Isumite ang requirements (Nakaagi nga Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Magpa-assess ug kuhaa ang Order of Payment.
3. Pagbayad sa City Treasurer's Office ug kuhaa ang Official Receipt.
4. Kuhaa ang inyong na-renew nga Business Permit.

💰 **Bayad:** Depende sa gross sales declaration.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter,"renew, business, permit"
132,City Mayor's Office - BPLS,cmo_renew_business_permit,bis,Unsa ang requirements para mag renew og permit?,"Para mag-**Renew sa inyong Business Permit** (buhaton kada Enero), sunda kining mga steps:

---
### 🏢 Renewal Process

**Steps:**
1. Isumite ang requirements (Nakaagi nga Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Magpa-assess ug kuhaa ang Order of Payment.
3. Pagbayad sa City Treasurer's Office ug kuhaa ang Official Receipt.
4. Kuhaa ang inyong na-renew nga Business Permit.

💰 **Bayad:** Depende sa gross sales declaration.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter,"renew, business, permit"
133,City Mayor's Office - BPLS,cmo_renew_business_permit,bis,Pag renew sa negosyo permit,"Para mag-**Renew sa inyong Business Permit** (buhaton kada Enero), sunda kining mga steps:

---
### 🏢 Renewal Process

**Steps:**
1. Isumite ang requirements (Nakaagi nga Mayor's Permit, Declaration of Gross Sales, Barangay Clearance).
2. Magpa-assess ug kuhaa ang Order of Payment.
3. Pagbayad sa City Treasurer's Office ug kuhaa ang Official Receipt.
4. Kuhaa ang inyong na-renew nga Business Permit.

💰 **Bayad:** Depende sa gross sales declaration.
⏱️ **Processing Time:** Mga 2-3 ka oras.",Citizen Charter,"renew, business, permit"
134,City Mayor's Office - BPLS,cmo_retire_business_permit,en,How to close my business?,"If you are closing your business, you need to apply for **Retirement of Business Permit** to avoid accumulating penalties.

---
### 📋 Process

**Steps:**
1. Submit a letter of intent to retire the business, along with the Original Mayor's Permit, Business Plate, and BIR Clearance.
2. BPLS will process the retirement and CTO will assess any remaining tax liabilities.
3. Pay any outstanding fees at the City Treasurer's Office.
4. Receive the Certificate of Business Retirement.",Citizen Charter,"retire, business, permit"
135,City Mayor's Office - BPLS,cmo_retire_business_permit,en,Retirement of business permit process,"If you are closing your business, you need to apply for **Retirement of Business Permit** to avoid accumulating penalties.

---
### 📋 Process

**Steps:**
1. Submit a letter of intent to retire the business, along with the Original Mayor's Permit, Business Plate, and BIR Clearance.
2. BPLS will process the retirement and CTO will assess any remaining tax liabilities.
3. Pay any outstanding fees at the City Treasurer's Office.
4. Receive the Certificate of Business Retirement.",Citizen Charter,"retire, business, permit"
136,City Mayor's Office - BPLS,cmo_retire_business_permit,en,What to do if I stop my business?,"If you are closing your business, you need to apply for **Retirement of Business Permit** to avoid accumulating penalties.

---
### 📋 Process

**Steps:**
1. Submit a letter of intent to retire the business, along with the Original Mayor's Permit, Business Plate, and BIR Clearance.
2. BPLS will process the retirement and CTO will assess any remaining tax liabilities.
3. Pay any outstanding fees at the City Treasurer's Office.
4. Receive the Certificate of Business Retirement.",Citizen Charter,"retire, business, permit"
